order_id,order_date,category,subcategory,product_name,customer_id,city,price,quantity,discount_pct,revenue,profit,payment_method,channel,order_status,ship_date,delivery_date
100000,2024-10-16,Electronics,Mobiles,Mobiles 859,CUST5506,Mumbai,3857,1,0,3857.0,1020.79,Netbanking,Website,Delivered,2024-10-17,2024-10-19
100001,2023-04-06,Clothing,Men,Men 617,CUST1434,Jaipur,3457,3,15,8815.35,3137.49,Netbanking,Mobile App,Returned,2023-04-07,2023-04-09
100002,2024-12-15,Beauty,Makeup,Makeup 384,CUST3547,Mumbai,12709,1,0,12709.0,4847.86,UPI,Mobile App,Shipped,2024-12-22,2024-12-25
100003,2025-04-06,Electronics,Accessories,Accessories 570,CUST9785,Bengaluru,6401,1,20,5120.8,1748.06,Netbanking,Mobile App,Delivered,2025-04-07,2025-04-09
100004,2024-11-08,Clothing,Women,Women 181,CUST4814,Bengaluru,6427,1,15,5462.95,1490.64,Debit Card,Website,Delivered,2024-11-10,2024-11-14
100005,2023-10-01,Grocery,Essentials,Essentials 763,CUST2169,Lucknow,10603,1,20,8482.4,2156.01,Credit Card,Mobile App,Delivered,2023-10-08,2023-10-10
100006,2024-12-02,Home & Kitchen,Furniture,Furniture 334,CUST1525,Kolkata,6772,1,0,6772.0,2423.04,Netbanking,Marketplace,Delivered,2024-12-07,2024-12-10
100007,2025-06-24,Grocery,Beverages,Beverages 246,CUST5339,Chennai,4240,3,20,10176.0,3535.67,Netbanking,Mobile App,Shipped,2025-06-29,2025-07-02
100008,2023-08-13,Clothing,Kids,Kids 605,CUST2489,Hyderabad,14308,1,5,13592.6,3731.32,COD,Marketplace,Delivered,2023-08-18,2023-08-22
100009,2024-04-24,Sports,Outdoor,Outdoor 666,CUST1188,Bengaluru,11369,3,10,30696.3,7559.89,Debit Card,Website,Delivered,2024-04-26,2024-04-29
100010,2023-01-04,Grocery,Essentials,Essentials 369,CUST9201,Chennai,8517,1,10,7665.3,1775.79,Netbanking,Marketplace,Delivered,2023-01-07,2023-01-09
100011,2024-07-06,Sports,Fitness,Fitness 713,CUST6310,Ahmedabad,519,1,10,467.1,104.75,Debit Card,Website,Delivered,2024-07-13,2024-07-15
100012,2023-03-29,Grocery,Beverages,Beverages 935,CUST2133,Jaipur,12747,1,5,12109.65,3245.99,Netbanking,Website,Delivered,2023-04-05,2023-04-08
100013,2025-09-14,Clothing,Kids,Kids 873,CUST4295,Delhi,6737,1,15,5726.45,1260.26,COD,Website,Delivered,2025-09-15,2025-09-18
100014,2023-01-22,Sports,Gear,Gear 335,CUST4608,Hyderabad,1363,1,5,1294.85,500.49,UPI,Mobile App,Delivered,2023-01-24,2023-01-27
100015,2024-11-16,Beauty,Skincare,Skincare 652,CUST3167,Lucknow,9640,2,5,18316.0,4452.18,COD,Website,Delivered,2024-11-21,2024-11-24
100016,2024-03-09,Beauty,Makeup,Makeup 984,CUST1887,Bengaluru,1193,2,10,2147.4,515.12,UPI,Website,Delivered,2024-03-16,2024-03-19
100017,2023-05-24,Beauty,Skincare,Skincare 385,CUST8579,Mumbai,14527,1,15,12347.95,2943.7,Netbanking,Website,Delivered,2023-05-31,2023-06-02
100018,2025-09-19,Electronics,Mobiles,Mobiles 270,CUST7658,Ahmedabad,8086,1,15,6873.1,1508.72,Credit Card,Mobile App,Delivered,2025-09-24,2025-09-27
100019,2025-08-06,Beauty,Makeup,Makeup 533,CUST8973,Chennai,3311,1,5,3145.45,648.77,Netbanking,Marketplace,Delivered,2025-08-09,2025-08-11
100020,2023-02-21,Sports,Outdoor,Outdoor 614,CUST9701,Chennai,1131,3,0,3393.0,779.48,UPI,Marketplace,Delivered,2023-02-23,2023-02-26
100021,2023-05-03,Sports,Fitness,Fitness 692,CUST1651,Lucknow,1543,2,20,2468.8,708.43,Debit Card,Mobile App,Delivered,2023-05-06,2023-05-08
100022,2023-09-29,Beauty,Skincare,Skincare 787,CUST5915,Ahmedabad,5380,1,0,5380.0,1658.88,Netbanking,Website,Delivered,2023-10-01,2023-10-05
100023,2023-09-29,Clothing,Women,Women 170,CUST5002,Kolkata,4869,1,15,4138.65,965.34,Debit Card,Marketplace,Pending,2023-10-06,2023-10-08
100024,2024-11-14,Sports,Outdoor,Outdoor 779,CUST2697,Chennai,4533,1,0,4533.0,1140.13,Credit Card,Mobile App,Delivered,2024-11-16,2024-11-20
100025,2023-12-18,Clothing,Kids,Kids 749,CUST5325,Jaipur,8204,1,0,8204.0,3130.16,COD,Mobile App,Delivered,2023-12-21,2023-12-23
100026,2024-10-14,Home & Kitchen,Furniture,Furniture 859,CUST8239,Jaipur,11761,2,20,18817.6,7490.65,UPI,Marketplace,Shipped,2024-10-21,2024-10-23
100027,2025-05-04,Home & Kitchen,Decor,Decor 665,CUST3426,Pune,2288,1,10,2059.2,673.5,UPI,Mobile App,Delivered,2025-05-06,2025-05-10
100028,2023-04-16,Home & Kitchen,Decor,Decor 995,CUST7658,Lucknow,12479,1,5,11855.05,2692.03,Credit Card,Mobile App,Delivered,2023-04-19,2023-04-22
100029,2025-04-01,Grocery,Essentials,Essentials 930,CUST5065,Delhi,2808,1,15,2386.8,538.38,COD,Website,Delivered,2025-04-06,2025-04-09
100030,2023-11-09,Clothing,Men,Men 124,CUST4164,Pune,5578,1,0,5578.0,1152.54,Debit Card,Mobile App,Delivered,2023-11-14,2023-11-18
100031,2025-10-01,Sports,Outdoor,Outdoor 128,CUST2889,Delhi,3125,3,10,8437.5,3310.44,Netbanking,Mobile App,Delivered,2025-10-04,2025-10-07
100032,2024-09-12,Sports,Fitness,Fitness 494,CUST4114,Delhi,927,2,0,1854.0,548.81,Netbanking,Marketplace,Delivered,2024-09-14,2024-09-17
100033,2024-03-17,Electronics,Accessories,Accessories 438,CUST6143,Bengaluru,11992,1,20,9593.6,3244.01,COD,Mobile App,Delivered,2024-03-20,2024-03-24
100034,2023-05-11,Clothing,Women,Women 780,CUST7211,Chennai,10284,3,10,27766.8,8851.64,UPI,Mobile App,Delivered,2023-05-16,2023-05-20
100035,2024-09-13,Grocery,Beverages,Beverages 576,CUST8238,Ahmedabad,11269,1,20,9015.2,2752.91,Credit Card,Marketplace,Delivered,2024-09-20,2024-09-24
100036,2024-10-10,Sports,Outdoor,Outdoor 195,CUST4848,Delhi,3880,1,5,3686.0,1456.39,Credit Card,Mobile App,Delivered,2024-10-11,2024-10-14
100037,2024-02-29,Grocery,Essentials,Essentials 299,CUST7291,Ahmedabad,6747,1,5,6409.65,1722.84,UPI,Website,Cancelled,2024-03-02,2024-03-04
100038,2025-04-03,Grocery,Essentials,Essentials 575,CUST1822,Jaipur,4282,1,15,3639.7,1358.82,COD,Marketplace,Delivered,2025-04-10,2025-04-14
100039,2023-11-21,Beauty,Haircare,Haircare 934,CUST9270,Pune,13808,3,15,35210.4,7765.95,COD,Mobile App,Delivered,2023-11-23,2023-11-27
100040,2023-10-11,Sports,Outdoor,Outdoor 741,CUST4919,Delhi,7406,1,10,6665.4,2353.56,Debit Card,Mobile App,Shipped,2023-10-12,2023-10-14
100041,2023-06-04,Clothing,Women,Women 810,CUST3503,Mumbai,1252,2,15,2128.4,710.51,COD,Mobile App,Delivered,2023-06-09,2023-06-12
100042,2025-07-15,Sports,Gear,Gear 120,CUST7232,Ahmedabad,296,1,10,266.4,66.41,COD,Marketplace,Delivered,2025-07-22,2025-07-26
100043,2025-07-08,Clothing,Women,Women 324,CUST5471,Pune,8156,1,15,6932.6,2306.99,COD,Marketplace,Delivered,2025-07-13,2025-07-15
100044,2025-10-01,Sports,Gear,Gear 127,CUST7455,Lucknow,9446,1,0,9446.0,2564.12,Credit Card,Mobile App,Delivered,2025-10-04,2025-10-07
